director_name,actor_name,genres,movie_title
Brian Robbins,Robert Downey Jr.,Comedy Family Fantasy,the shaggy dog
Todd Phillips,Snoop Dogg,Comedy Crime,starsky & hutch
Brian Levant,Jim Belushi,Comedy Family,jingle all the way
Guillermo del Toro,James Babson,Action Fantasy Horror Sci-Fi,hellboy
Steven Zaillian,Robert Duvall,Drama,a civil action
Chris Butler,Anna Kendrick,Adventure Animation Comedy Family Fantasy,paranorman
Michael Caton-Jones,J.K. Simmons,Action Adventure Crime Thriller,the jackal
John Woo,Ivana Milicevic,Action Mystery Sci-Fi Thriller,paycheck
Jon Avnet,Joe Mantegna,Drama Romance,up close & personal
Sam Fell,Emma Watson,Adventure Animation Comedy Family Fantasy,the tale of despereaux
unknown,Bianca Kajlich,Comedy Romance,rules of engagement            
Kevin Donovan,Romany Malco,Action Comedy Sci-Fi,the tuxedo
Geoff Murphy,Peter Greene,Action Thriller,under siege 2: dark territory
Kenneth Branagh,Colm Feore,Action Drama Thriller,jack ryan: shadow recruit
David O. Russell,Jennifer Lawrence,Biography Comedy Drama,joy
Babak Najafi,Gerard Butler,Action Crime Drama Thriller,london has fallen
Jean-Pierre Jeunet,Gary Dourdan,Action Horror Sci-Fi,alien: resurrection
Antoine Fuqua,Tate Donovan,Action Crime Drama Mystery Thriller,shooter
Graham Annable,Isaac Hempstead Wright,Adventure Animation Comedy Family Fantasy,the boxtrolls
Griffin Dunne,Goran Visnjic,Comedy Drama Fantasy Romance,practical magic
Phil Lord,Morgan Freeman,Action Adventure Animation Comedy Family Fantasy,the lego movie
John Pasquin,Eileen Brennan,Action Comedy Crime,miss congeniality 2: armed and fabulous
Rob Bowman,Christian Bale,Action Adventure Fantasy Sci-Fi Thriller,reign of fire
Ruben Fleischer,Ryan Gosling,Action Crime Drama Thriller,gangster squad
Harold Ramis,Olivia Wilde,Adventure Comedy,year one
Clint Eastwood,Matt Damon,Biography Drama History Sport,invictus
Kevin Macdonald,Robin Wright,Crime Drama Mystery Thriller,state of play
Tony Gilroy,Julia Roberts,Comedy Crime Romance Thriller,duplicity
Donald Petrie,Steven Anthony Lawrence,Comedy Family Sci-Fi,my favorite martian
Clark Johnson,Blair Brown,Action Crime Thriller,the sentinel
Jorge Blanco,Dwayne Johnson,Adventure Animation Comedy Family Sci-Fi,planet 51
Stuart Baird,Tom Hardy,Action Adventure Sci-Fi Thriller,star trek: nemesis
Joel Coen,Cedric the Entertainer,Comedy Crime Romance,intolerable cruelty
Robert Lorenz,Clint Eastwood,Drama Sport,trouble with the curve
Martin Campbell,Bojana Novakovic,Crime Drama Mystery Thriller,edge of darkness
Peter Hyams,John Kapelos,Horror Mystery Sci-Fi Thriller,the relic
Harold Ramis,Robert De Niro,Comedy Crime,analyze that
Jon Avnet,Robert De Niro,Action Crime Drama Mystery Thriller,righteous kill
Joe Wright,Robert Downey Jr.,Biography Drama Music,the soloist
Robert Redford,Matt Damon,Drama Fantasy Sport,the legend of bagger vance
Cameron Crowe,Philip Seymour Hoffman,Adventure Comedy Drama Music,almost famous
Tim Hill,Bill Murray,Animation Comedy Family Fantasy,garfield 2
Lee Tamahori,Sunny Mabrey,Action Adventure Crime Thriller,xxx: state of the union
Scott Stewart,Josh Wingate,Action Fantasy Horror Sci-Fi Thriller,priest
Patrick Gilmore,Brad Pitt,Adventure Animation Comedy Drama Family Fantasy Romance,sinbad: legend of the seven seas
Paul W.S. Anderson,Sean Pertwee,Horror Sci-Fi Thriller,event horizon
Joss Whedon,Chris Hemsworth,Action Adventure Sci-Fi,the avengers
Tom Shadyac,Joe Morton,Drama Fantasy Mystery Romance Thriller,dragonfly
Brian De Palma,Scarlett Johansson,Crime Drama Mystery Thriller,the black dahlia
Tony Bill,James Franco,Action Adventure Drama History Romance War,flyboys
Rod Lurie,Clifton Collins Jr.,Action Drama Thriller,the last castle
Walter Hill,Robert Forster,Horror Sci-Fi Thriller,supernova
Akiva Goldsman,Matt Bomer,Drama Fantasy Mystery Romance,winter's tale
Harald Zwart,Aidan Turner,Fantasy Horror Mystery Romance,the mortal instruments: city of bones
Brian Robbins,Marc Blucas,Adventure Comedy Family Romance Sci-Fi,meet dave
Walter Salles,Dougray Scott,Drama Horror Thriller,dark water
Ron Howard,Matthew McConaughey,Comedy Drama,edtv
Iain Softley,Brendan Fraser,Adventure Family Fantasy,inkheart
Frank Miller,Scarlett Johansson,Action Crime Fantasy Thriller,the spirit
David Koepp,Johnny Depp,Action Comedy Mystery Romance,mortdecai
Uwe Boll,Jason Statham,Action Adventure Fantasy Thriller,in the name of the king: a dungeon siege tale
Martin Campbell,Angelina Jolie Pitt,Adventure Drama Romance War,beyond borders
Pou-Soi Cheang,Li Gong,Action Adventure Fantasy,xi you ji zhi: sun wukong san da baigu jing
John Dahl,James Franco,Action Drama War,the great raid
Tim Miller,Ryan Reynolds,Action Adventure Comedy Romance Sci-Fi,deadpool
Stephen Herek,Kelly Preston,Comedy Drama,holy man
Clint Eastwood,Bradley Cooper,Action Biography Drama History Thriller War,american sniper
unknown,Nate Richert,Comedy Family Fantasy,"sabrina, the teenage witch            "
Mark Waters,Jon Heder,Comedy Fantasy Romance,just like heaven
Brian Levant,Taylor Negron,Comedy Family Romance Sci-Fi,the flintstones in viva rock vegas
Peter MacDonald,Sylvester Stallone,Action Adventure Thriller War,rambo iii
George Clooney,Robert Baker,Comedy Drama Romance Sport,leatherheads
Frank Coraci,Taylor Lautner,Comedy Western,the ridiculous 6
Marc Lawrence,Michael Kelly,Comedy Drama Romance,did you hear about the morgans?
Shawn Levy,Josh Gad,Comedy,the internship
Paul W.S. Anderson,Milla Jovovich,Action Adventure Horror Sci-Fi,resident evil: afterlife
Anthony Hemingway,David Oyelowo,Action Adventure Drama History War,red tails
unknown,Chris Noth,Comedy Romance,sex and the city            
Taylor Hackford,Keanu Reeves,Drama Mystery Thriller,the devil's advocate
Sean Anders,Adam Sandler,Comedy,that's my boy
Rob Cohen,Dennis Quaid,Action Adventure Fantasy,dragonheart
Brett Ratner,Salma Hayek,Action Comedy Crime Drama,after the sunset
Mark Neveldine,Nicolas Cage,Action Fantasy Thriller,ghost rider: spirit of vengeance
John Madden,Christian Bale,Drama Music Romance War,captain corelli's mandolin
unknown,Barry Corbin,Comedy Romance,anger management            
Adam Shankman,Vin Diesel,Action Comedy Drama Family Thriller,the pacifier
Kevin Bray,Dwayne Johnson,Action Crime,walking tall
Robert Zemeckis,Tom Hanks,Comedy Drama,forrest gump
Tim Hill,Jesse McCartney,Animation Comedy Family Fantasy Music,alvin and the chipmunks
Jay Roach,Robert De Niro,Comedy,meet the parents
Mike Gabriel,Christian Bale,Adventure Animation Drama Family History Musical Romance,pocahontas
Richard Donner,Marlon Brando,Action Adventure Drama Romance Sci-Fi,superman
Tom Shadyac,Jada Pinkett Smith,Comedy Romance Sci-Fi,the nutty professor
Andy Tennant,Will Smith,Comedy Romance,hitch
Sam Weisman,Brendan Fraser,Action Adventure Comedy Family Romance,george of the jungle
Jesse Dylan,Alyson Hannigan,Comedy Romance,american wedding
Paul Greengrass,Tom Hanks,Biography Drama Thriller,captain phillips
Shawn Levy,Mila Kunis,Comedy Crime Romance Thriller,date night
Brad Silberling,Eric Idle,Comedy Family Fantasy,casper
Antoine Fuqua,Denzel Washington,Action Crime Thriller,the equalizer
Wayne Wang,Bob Hoskins,Comedy Drama Romance,maid in manhattan
Tony Scott,Denzel Washington,Action Drama Thriller War,crimson tide
Gabriele Muccino,Will Smith,Biography Drama,the pursuit of happyness
Robert Schwentke,Erika Christensen,Drama Mystery Thriller,flightplan
Barry Levinson,Demi Moore,Drama Thriller,disclosure
Brad Silberling,Nicolas Cage,Drama Fantasy Romance,city of angels
Quentin Tarantino,David Carradine,Action,kill bill: vol. 1
Frank Oz,Robert Downey Jr.,Comedy,bowfinger
unknown,Christopher Judge,Action Adventure Drama Sci-Fi,stargate sg-1            
Quentin Tarantino,Vivica A. Fox,Action Crime Drama Thriller,kill bill: vol. 2
Andrey Konchalovskiy,Sylvester Stallone,Action Comedy Crime Thriller,tango & cash
Robert Zemeckis,Bruce Willis,Comedy Fantasy Horror,death becomes her
Tom Dey,Xander Berkeley,Action Adventure Comedy Western,shanghai noon
Stuart Baird,Oliver Platt,Action Adventure Thriller,executive decision
Mark Waters,Madeline Carroll,Comedy Family Fantasy,mr. popper's penguins
Rob Minkoff,Jet Li,Action Adventure Fantasy,the forbidden kingdom
Jimmy Hayward,Amy Poehler,Adventure Animation Comedy Family,free birds
David Fincher,Charles S. Dutton,Action Horror Sci-Fi,alien 3
Alan Parker,Andrea Corr,Biography Drama History Musical,evita
John Frankenheimer,Robert De Niro,Action Adventure Crime Thriller,ronin
Stephen Hopkins,Tom Wilkinson,Adventure Drama Horror Thriller,the ghost and the darkness
Paul King,Julie Walters,Animation Comedy Family Fantasy,paddington
William Friedkin,Connie Nielsen,Action Crime Drama Thriller,the hunted
Jon Turteltaub,Anthony Hopkins,Drama Thriller,instinct
Bobby Farrelly,Matt Damon,Comedy,stuck on you
Kent Alterman,Will Ferrell,Comedy Sport,semi-pro
Peter Lord,Salma Hayek,Adventure Animation Comedy Family,the pirates! band of misfits
Clint Eastwood,Angelina Jolie Pitt,Crime Drama Mystery Thriller,changeling
Andrew Davis,Keanu Reeves,Action Drama Sci-Fi Thriller,chain reaction
Tony Scott,Robert De Niro,Action Drama Sport Thriller,the fan
Joel Schumacher,Gerard Butler,Drama Musical Romance Thriller,the phantom of the opera
Shekhar Kapur,Eddie Redmayne,Biography Drama History War,elizabeth: the golden age
Karyn Kusama,Charlize Theron,Action Sci-Fi,æon flux
Ron Maxwell,Billy Campbell,Drama History War,gods and generals
Robert Butler,Hector Elizondo,Action Thriller,turbulence
Karey Kirkpatrick,Stephen Root,Comedy Drama Family Fantasy,imagine that
James Bobin,Ty Burrell,Adventure Comedy Crime Family Musical,muppets most wanted
Jonathan Frakes,Sophia Myles,Action Adventure Comedy Family Sci-Fi,thunderbirds
Steve Antin,Eric Dane,Drama Music Musical Romance,burlesque
Jean-Pierre Jeunet,Denis Lavant,Drama Mystery Romance War,a very long engagement
Jim Gillespie,Sylvester Stallone,Crime Horror Mystery Thriller,eye see you
Guillermo del Toro,Norman Reedus,Action Horror Sci-Fi Thriller,blade ii
Gabriele Muccino,Will Smith,Drama Romance,seven pounds
Walter Hill,Sylvester Stallone,Action Thriller,bullet to the head
Francis Ford Coppola,Al Pacino,Crime Drama,the godfather: part iii
Cameron Crowe,Orlando Bloom,Comedy Drama Romance,elizabethtown
Anthony Russo,Todd Stashwick,Comedy Romance,"you, me and dupree"
Richard Lester,Margot Kidder,Action Adventure Romance Sci-Fi,superman ii
Martin Brest,Todd Giebenhain,Comedy Crime Romance,gigli
Steven Zaillian,Kate Winslet,Drama Thriller,all the king's men
John Singleton,Christian Bale,Action Crime Thriller,shaft
Don Bluth,Kirsten Dunst,Adventure Animation Drama Family Fantasy Musical Mystery Romance,anastasia
Baz Luhrmann,Jim Broadbent,Drama Musical Romance,moulin rouge!
Harold Becker,Steve Buscemi,Crime Mystery Thriller,domestic disturbance
Scott Cooper,Johnny Depp,Biography Crime Drama,black mass
Clint Eastwood,Paul Walker,Drama History War,flags of our fathers
F. Gary Gray,Gerard Butler,Crime Drama Thriller,law abiding citizen
Robert Rodriguez,Quentin Tarantino,Action Horror Thriller,grindhouse
Jonathan Demme,Oprah Winfrey,Drama History Horror,beloved
Curtis Hanson,Robert Downey Jr.,Drama Romance Sport,lucky you
Steven Spielberg,Leonardo DiCaprio,Biography Crime Drama,catch me if you can
Kathryn Bigelow,Jennifer Ehle,Drama History Thriller,zero dark thirty
Peyton Reed,Jon Favreau,Comedy Drama Romance,the break-up
Phyllida Lloyd,Colin Firth,Comedy Family Musical Romance,mamma mia!
Garry Marshall,Bradley Cooper,Comedy Romance,valentine's day
Jay Chandrasekhar,Alice Greczyn,Action Adventure Comedy,the dukes of hazzard
Terrence Malick,Nick Stahl,Drama War,the thin red line
David Dobkin,Ryan Reynolds,Comedy Fantasy,the change-up
Milos Forman,Matt Price,Biography Comedy Drama,man on the moon
Martin Scorsese,Robert De Niro,Biography Crime Drama,casino
Pierre Morel,Kasia Smutniak,Action Thriller,from paris with love
Paul Hunter,Jaime King,Action Comedy Fantasy,bulletproof monk
Bobby Farrelly,Robert Forster,Comedy,"me, myself & irene"
Steve Oedekerk,Rob Paulsen,Animation Comedy Family,barnyard
John Whitesell,Matthew Broderick,Comedy Family,deck the halls
Chris Weitz,Robert Pattinson,Adventure Drama Fantasy Romance,the twilight saga: new moon
Andrew Adamson,Kathleen Freeman,Adventure Animation Comedy Family Fantasy,shrek
George Nolfi,Matt Damon,Romance Sci-Fi Thriller,the adjustment bureau
Kevin Reynolds,Alan Rickman,Action Adventure Drama Romance,robin hood: prince of thieves
Cameron Crowe,Tom Cruise,Comedy Drama Romance Sport,jerry maguire
Seth MacFarlane,Mila Kunis,Comedy Fantasy,ted
James L. Brooks,Lupe Ontiveros,Comedy Drama Romance,as good as it gets
Tom Shadyac,Robin Williams,Biography Comedy Drama Romance,patch adams
Adam McKay,Harrison Ford,Comedy,anchorman 2: the legend continues
Steven Brill,Steve Buscemi,Comedy Romance,mr. deeds
J.J. Abrams,Joel Courtney,Mystery Sci-Fi Thriller,super 8
Steven Soderbergh,Julia Roberts,Biography Drama,erin brockovich
Donald Petrie,Matthew McConaughey,Comedy Romance,how to lose a guy in 10 days
Phil Lord,Channing Tatum,Action Comedy Crime,22 jump street
Neil Jordan,Brad Pitt,Drama Fantasy Horror,interview with the vampire: the vampire chronicles
Peyton Reed,Bradley Cooper,Comedy Romance,yes man
Rawson Marshall Thurber,Dwayne Johnson,Action Comedy Crime,central intelligence
Chris Columbus,Julia Roberts,Comedy Drama,stepmom
Sean Anders,Will Ferrell,Comedy Family,daddy's home
Rob Marshall,Johnny Depp,Adventure Comedy Drama Fantasy Musical,into the woods
Spike Lee,Denzel Washington,Crime Drama Mystery Thriller,inside man
Brian Helgeland,Bill Duke,Action Crime Drama Thriller,payback
Frank Marshall,Dylan Walsh,Action Adventure Mystery Sci-Fi,congo
Cameron Crowe,Scarlett Johansson,Comedy Drama Family,we bought a zoo
Alex Proyas,Nicolas Cage,Drama Mystery Sci-Fi Thriller,knowing
Tom Dey,Bradley Cooper,Comedy Romance,failure to launch
Hideo Nakata,Naomi Watts,Horror Mystery,the ring two
Glenn Ficarra,Ryan Gosling,Comedy Drama Romance,"crazy, stupid, love."
Peter Hewitt,Bill Murray,Animation Comedy Family Fantasy,garfield
Joe Roth,Jamie Lee Curtis,Comedy Family,christmas with the kranks
Bennett Miller,Philip Seymour Hoffman,Biography Drama Sport,moneyball
Wolfgang Petersen,Kevin Spacey,Action Drama Thriller,outbreak
Jaume Collet-Serra,Liam Neeson,Action Mystery Thriller,non-stop
Andy Fickman,Dwayne Johnson,Action Adventure Family Fantasy Sci-Fi Thriller,race to witch mountain
James McTeigue,Natalie Portman,Action Drama Thriller,v for vendetta
David Dobkin,Fann Wong,Action Adventure Comedy,shanghai knights
unknown,Bernard Hill,Crime Drama,unforgotten            
Matthew O'Callaghan,Will Ferrell,Adventure Animation Comedy Family,curious george
Angela Robinson,Scoot McNairy,Adventure Comedy Family Fantasy Romance Sport,herbie fully loaded
Gary Fleder,Oliver Platt,Crime Drama Mystery Thriller,don't say a word
Tommy Wirkola,Jeremy Renner,Action Fantasy Horror,hansel & gretel: witch hunters
Adrian Lyne,Olivier Martinez,Drama Thriller,unfaithful
D.J. Caruso,Alex Pettyfer,Action Adventure Sci-Fi Thriller,i am number four
Michael Bay,Toby Stephens,Action Drama Thriller War,13 hours
Jorge R. Gutiérrez,Channing Tatum,Adventure Animation Comedy Family Fantasy Romance,the book of life
Richard Loncraine,Jimmy Bennett,Crime Thriller,firewall
Clint Eastwood,Clint Eastwood,Action Crime Drama Thriller,absolute power
Ridley Scott,Viggo Mortensen,Action Drama War,g.i. jane
David Fincher,Deborah Kara Unger,Drama Mystery Thriller,the game
Christophe Gans,Radha Mitchell,Adventure Horror Mystery,silent hill
Howard Deutch,Keanu Reeves,Comedy Sport,the replacements
Jon Hurwitz,Alyson Hannigan,Comedy,american reunion
F. Gary Gray,Kevin Spacey,Action Crime Drama Mystery Thriller,the negotiator
Steven Quale,Matt Walsh,Action Thriller,into the storm
John Landis,Louis Lombardi,Action Comedy Crime Thriller,beverly hills cop iii
Joe Dante,Christopher Lee,Comedy Fantasy Horror,gremlins 2: the new batch
David Dobkin,Robert Downey Jr.,Crime Drama,the judge
Mimi Leder,Armin Mueller-Stahl,Action Thriller,the peacemaker
Alexander Witt,Milla Jovovich,Action Horror Sci-Fi Thriller,resident evil: apocalypse
Beeban Kidron,Colin Firth,Comedy Drama Romance,bridget jones: the edge of reason
Carl Franklin,Denzel Washington,Crime Drama Romance Thriller,out of time
Steven Seagal,Mike Starr,Action Adventure Thriller,on deadly ground
Robert Rodriguez,Taylor Lautner,Action Adventure Family Fantasy,the adventures of sharkboy and lavagirl 3-d
Danny Boyle,Leonardo DiCaprio,Adventure Drama Thriller,the beach
Garry Marshall,Amber Valletta,Comedy Drama Romance,raising helen
James McTeigue,Shô Kosugi,Action Crime Thriller,ninja assassin
Sam Raimi,J.K. Simmons,Drama Romance Sport,for love of the game
unknown,David Jason,Crime Drama Mystery,a touch of frost            
Andrew Bergman,Demi Moore,Comedy Crime Drama Thriller,striptease
Tom Dey,Emma Stone,Comedy Family,marmaduke
Clint Eastwood,Matt Damon,Drama Fantasy,hereafter
Richard Donner,Muse Watson,Action Crime Thriller,assassins
Peter Webber,Li Gong,Crime Drama Thriller,hannibal rising
Rob Reiner,Bruce Willis,Comedy Drama Romance,the story of us
John McTiernan,Connie Nielsen,Action Crime Drama Mystery Thriller,basic
Clint Eastwood,Clint Eastwood,Action Crime Drama Mystery Thriller,blood work
Tom Tykwer,Naomi Watts,Action Crime Drama Mystery Thriller,the international
John Carpenter,Steve Buscemi,Action Adventure Sci-Fi Thriller,escape from l.a.
unknown,Grey Damon,Drama Mystery Thriller,twisted            
Brad Bird,Vin Diesel,Action Adventure Animation Comedy Drama Family Sci-Fi,the iron giant
Wes Anderson,Bill Murray,Adventure Comedy Drama,the life aquatic with steve zissou
Gary Ross,Matthew McConaughey,Action Biography Drama History War,free state of jones
Alan Parker,Kevin Spacey,Crime Drama Thriller,the life of david gale
Stephen Herek,Christina Milian,Action Comedy,man of the house
Jaume Collet-Serra,Liam Neeson,Action Crime Drama Thriller,run all night
David Cronenberg,Viggo Mortensen,Crime Mystery Thriller,eastern promises
John Stockwell,Paul Walker,Action Adventure Crime Thriller,into the blue
Luc Besson,Paul Brooke,Adventure Biography Drama History War,the messenger: the story of joan of arc
David Gordon Green,Natalie Portman,Adventure Comedy Fantasy,your highness
Jim Sheridan,Naomi Watts,Drama Mystery Thriller,dream house
Costa-Gavras,Mia Kirshner,Crime Drama Thriller,mad city
Patrick Read Johnson,Joe Mantegna,Adventure Comedy Crime Drama Family,baby's day out
Roland Joffé,Gary Oldman,Drama Romance,the scarlet letter
Doug Liman,Naomi Watts,Biography Drama Thriller,fair game
unknown,Julie Benz,Action Drama Sci-Fi,defiance            
Tony Scott,Ian Ziering,Action Biography Crime Drama Thriller,domino
William Friedkin,Michael Biehn,Crime Drama Thriller,jade
Mark Neveldine,Gerard Butler,Action Sci-Fi Thriller,gamer
Richard LaGravenese,Alden Ehrenreich,Drama Fantasy Romance,beautiful creatures
Danny DeVito,Robin Williams,Comedy Crime Drama Thriller,death to smoochy
Ben Stiller,Milla Jovovich,Comedy,zoolander 2
George Armitage,Morgan Freeman,Comedy Crime,the big bounce
Mike Nichols,Judy Greer,Comedy Sci-Fi,what planet are you from?
Patrick Lussier,Nicolas Cage,Action Fantasy Thriller,drive angry
Andrzej Bartkowiak,Chris Klein,Action Crime Drama Mystery Thriller,street fighter: the legend of chun-li
James Wong,Jason Statham,Action Sci-Fi Thriller,the one
unknown,Tobias Menzies,Drama Romance Sci-Fi,outlander            
Renny Harlin,Lauren Holly,Action Adventure Comedy Crime Music Mystery,the adventures of ford fairlane
Richard Curtis,Philip Seymour Hoffman,Comedy Drama Music,pirate radio
Steven Soderbergh,Michael O'Neill,Crime Drama Thriller,traffic
Steven Spielberg,Harrison Ford,Action Adventure Fantasy,indiana jones and the last crusade
Joe Wright,Kelly Macdonald,Drama Romance,anna karenina
Neill Blomkamp,Hugh Jackman,Action Crime Drama Sci-Fi Thriller,chappie
Phillip Noyce,Denzel Washington,Crime Drama Mystery Thriller,the bone collector
David Fincher,Kristen Stewart,Crime Drama Thriller,panic room
Chuck Bowman,P.J. Soles,Horror Thriller,the tooth fairy
David O. Russell,Judy Greer,Action Adventure Comedy Drama War,three kings
Daniel Espinosa,Tom Hardy,Crime Drama Thriller,child 44
Jerry Zucker,Corinna Harney,Adventure Comedy,rat race
Iain Softley,Kevin Spacey,Drama Mystery Sci-Fi,k-pax
James Mangold,Hugh Jackman,Comedy Fantasy Romance,kate & leopold
Harold Ramis,Brendan Fraser,Comedy Fantasy Romance,bedazzled
Francis Ford Coppola,Nicolas Cage,Crime Drama Music,the cotton club
James Mangold,Christian Bale,Adventure Crime Drama Western,3:10 to yuma
Olivier Megaton,Liam Neeson,Action Thriller,taken 3
Steven Soderbergh,Don Cheadle,Crime Drama Romance Thriller,out of sight
Ben Stiller,Matthew Broderick,Comedy Drama Thriller,the cable guy
Deepa Mehta,Nandita Das,Drama Romance War,earth
Warren Beatty,Charlie Korsmo,Action Comedy Crime Music Romance Thriller,dick tracy
John McTiernan,Mark Margolis,Crime Romance Thriller,the thomas crown affair
Penny Marshall,Rosie Perez,Biography Comedy Drama,riding in cars with boys
Andrei Tarkovsky,Donatas Banionis,Drama Mystery Sci-Fi,solaris
Paul Bolger,Sarah Michelle Gellar,Adventure Animation Comedy Family Fantasy,happily n'ever after
Stephen Frears,Julia Roberts,Drama Horror Romance Thriller,mary reilly
P.J. Hogan,Julia Roberts,Comedy Romance,my best friend's wedding
Joe Roth,Julia Roberts,Comedy Romance,america's sweethearts
Christopher Nolan,Al Pacino,Drama Mystery Thriller,insomnia
Jonathan Frakes,LeVar Burton,Action Adventure Drama Sci-Fi Thriller,star trek: first contact
Jimmy Hayward,Michael Fassbender,Action Drama Fantasy Thriller Western,jonah hex
Edward Zwick,Denzel Washington,Action Drama Mystery Thriller War,courage under fire
Tom Shadyac,Maura Tierney,Comedy Fantasy Romance,liar liar
Brad Furman,Joseph Gilgun,Biography Crime Drama Thriller,the infiltrator
Terence Young,Laurence Olivier,Drama History War,inchon
Brian Levant,Jonathan Winters,Comedy Family Fantasy,the flintstones
Olivier Megaton,Liam Neeson,Action Crime Thriller,taken 2
David Zucker,Regina Hall,Comedy,scary movie 3
Donald Petrie,Candice Bergen,Action Comedy Crime Romance,miss congeniality
Eric Brevig,Josh Hutcherson,Action Adventure Family Fantasy Sci-Fi,journey to the center of the earth
Garry Marshall,Anne Hathaway,Comedy Family Romance,the princess diaries 2: royal engagement
Alan J. Pakula,Denzel Washington,Crime Drama Mystery Thriller,the pelican brief
Joel Schumacher,Bradley Whitford,Crime Drama Mystery Thriller,the client
Rob Reiner,Morgan Freeman,Adventure Comedy Drama,the bucket list
Phillip Noyce,Harrison Ford,Action Thriller,patriot games
Robert Luketic,Adam Scott,Comedy Romance,monster-in-law
Denis Villeneuve,Hugh Jackman,Crime Drama Mystery Thriller,prisoners
Antoine Fuqua,Denzel Washington,Crime Drama Thriller,training day
Dean Parisot,Alan Rickman,Adventure Comedy Sci-Fi,galaxy quest
Keenen Ivory Wayans,Natasha Lyonne,Comedy,scary movie 2
James Bobin,Bill Cobbs,Adventure Comedy Family Musical,the muppets
Stephen Norrington,Sanaa Lathan,Action Horror,blade
Thomas Carter,Channing Tatum,Drama Sport,coach carter
Roger Michell,Sydney Pollack,Drama Thriller,changing lanes
Luis Llosa,Frank Welker,Action Adventure Horror Thriller,anaconda
David McNally,Adam Garcia,Comedy Drama Music Romance,coyote ugly
Richard Curtis,Colin Firth,Comedy Drama Romance,love actually
John Lasseter,Kevin Spacey,Adventure Animation Comedy Family Fantasy,a bug's life
Luis Llosa,Sylvester Stallone,Action Crime Drama Romance Thriller,the specialist
Ron Shelton,Don Johnson,Comedy Drama Romance Sport,tin cup
Melville Shavelson,Lucille Ball,Comedy Family,"yours, mine and ours"
Jesse Dylan,Josh Hutcherson,Comedy Family Romance Sport,kicking & screaming
Garth Jennings,Zooey Deschanel,Adventure Comedy Sci-Fi,the hitchhiker's guide to the galaxy
Joel Zwick,Dania Ramirez,Comedy Family Fantasy Romance,fat albert
Russell Mulcahy,Milla Jovovich,Action Horror Sci-Fi Thriller,resident evil: extinction
Frank Coraci,Bella Thorne,Comedy Romance,blended
Wayne Wang,LL Cool J,Adventure Comedy Drama,last holiday
Curtis Hanson,Meryl Streep,Action Adventure Crime Thriller,the river wild
Frank Oz,Steve Coogan,Drama Family Fantasy,the indian in the cupboard
Oliver Stone,Demián Bichir,Crime Drama Thriller,savages
David R. Ellis,Richard Burgi,Action Crime Thriller,cellular
Peter Howitt,Kevin McNally,Action Adventure Comedy,johnny english
John A. Davis,Nicolas Cage,Adventure Animation Comedy Family Fantasy,the ant bully
David Lynch,Virginia Madsen,Action Adventure Sci-Fi,dune
Sam Mendes,Leonardo DiCaprio,Drama Romance,revolutionary road
Richard Donner,Bruce Willis,Action Crime Drama Thriller,16 blocks
Mathieu Kassovitz,Vin Diesel,Action Adventure Sci-Fi Thriller,babylon a.d.
John Gray,Alexa PenaVega,Action Comedy Crime Drama Thriller,the glimmer man
Harold Ramis,John de Lancie,Comedy Romance Sci-Fi,multiplicity
John Schultz,Malese Jow,Adventure Comedy Family Fantasy Sci-Fi,aliens in the attic
Sean Penn,Costas Mandylor,Crime Drama Mystery Thriller,the pledge
Susan Stroman,Jon Lovitz,Comedy Musical,the producers
Pete Travis,Wood Harris,Action Sci-Fi,dredd
Simon Wincer,Cary-Hiroyuki Tagawa,Action Adventure Comedy Fantasy,the phantom
Billy Bob Thornton,Matt Damon,Drama Romance Western,all the pretty horses
Oliver Stone,Anthony Hopkins,Biography Drama History,nixon
Roman Polanski,Jim Belushi,Mystery Thriller,the ghost writer
Stephen Sommers,Djimon Hounsou,Action Adventure Horror Sci-Fi,deep rising
Spike Lee,Joseph Gordon-Levitt,Action Crime Drama Thriller War,miracle at st. anna
Yimou Zhang,Li Gong,Drama Romance,curse of the golden flower
Danny Pang,Nicolas Cage,Action Crime Thriller,bangkok dangerous
Barry Sonnenfeld,Zooey Deschanel,Comedy Crime Thriller,big trouble
Mike Newell,Marcela Mar,Drama Romance,love in the time of cholera
unknown,Pierre Perrier,Drama Fantasy Horror Mystery,the returned            
George P. Cosmatos,Sam Waterston,Action Thriller,shadow conspiracy
Oliver Parker,Daniel Kaluuya,Action Adventure Comedy Crime,johnny english reborn
Lawrence Kasanoff,Jerry Stiller,Action Animation Comedy Family Fantasy,foodfight!
Ben Affleck,Clea DuVall,Biography Drama History Thriller,argo
Andrew Davis,Harrison Ford,Action Adventure Crime Drama Mystery Thriller,the fugitive
Andy Tennant,Gerard Butler,Action Comedy Romance,the bounty hunter
Barry Levinson,Robert De Niro,Crime Drama Thriller,sleepers
George P. Cosmatos,Sylvester Stallone,Action Adventure Thriller War,rambo: first blood part ii
Brian Gibson,Joseph Gordon-Levitt,Drama Thriller,the juror
Norman Ferguson,Mel Blanc,Animation Family Fantasy Musical,pinocchio
Michael Cimino,Jeff Bridges,Adventure Drama Western,heaven's gate
Len Wiseman,Sophia Myles,Action Adventure Fantasy Sci-Fi Thriller,underworld: evolution
Gus Van Sant,F. Murray Abraham,Drama,finding forrester
Betty Thomas,Steve Buscemi,Comedy Drama,28 days
